Judge Identification Number,Judge Last Name,Judge First Name,Judge Middle Name,Suffix,Birth month,Birth day,Birth year,Place of Birth (City),Place of Birth (State),Death month,Death day,Death year,Place of Death (City),Place of Death (State),Gender,Race or Ethnicity,Judge Identification Number,Court Name,Court Type,President name,Party Affiliation of President,Renominating President name,Party Affiliation of Renominating President,Nomination Date Senate Executive Journal,ABA Rating,Recess Appointment date,Vice last name (predecessor),Vice first name (predecessor),Authorization legislation,Referral date (referral to Judicial Committee),Report number,Committee action,Committee action date,Hearings,Senate voice vote,Senate vote Ayes/Nays,Senate Vote Date (Confirmation Date),Commission Date,Commission Year,Date of Service as Chief Judge (begin),Date of Service as Chief Judge (end),Second Date of Service as Chief Judge (begin),Second Date of Service as Chief Judge (end),Retirement from Active Service,Date of Termination,Termination specific reason,Judge Identification Number,Court Name (2),Court Type (2),President name (2),Party Affiliation of President (2),Renominating President name (2),Party Affiliation of Renominating President (2),Nomination Date Senate Executive Journal (2),ABA Rating (2),Recess Appointment date (2),Vice last name (predecessor) (2),Vice first name (predecessor) (2),Authorization legislation (2),referral date (referral to Judicial Committee) (2),Report number (2),committee action (2),Committee action date (2),Hearings (2),Senate voice vote (2),Senate vote Ayes/Nays (2),Senate Vote Date (Confirmation Date) (2),Commission Date (2),Date of Service as Chief Judge (begin) (2),Date of Service as Chief Judge (end) (2),Second Date of Service as Chief Judge (begin) (2),Second Date of Service as Chief Judge (end) (2),Retirement from Active Service (2),Date of Termination (2),Termination specific reason (2),Judge Identification Number,Court Name (3),Court Type (3),President name (3),Party Affiliation of President (3),Renominating President name (3),Party Affiliation of Renominating President (3),Nomination Date Senate Executive Journal (3),ABA Rating (3),Recess Appointment date (3),Vice last name (predecessor) (3),Vice first name (predecessor) (3),Authorization legislation (3),referral date (referral to Judicial Committee) (3),Report number (3),committee action (3),Committee action date (3),Hearings (3),Senate voice vote (3),Senate vote Ayes/Nays (3),Senate Vote Date (Confirmation Date) (3),Commission Date (3),Date of Service as Chief Judge (begin) (3),Date of Service as Chief Judge (end) (3),Second Date of Service as Chief Judge (begin) (3),Second Date of Service as Chief Judge (end) (3),Retirement from Active Service (3),Date of Termination (3),Termination specific reason (3),Judge Identification Number,Court Name (4),Court Type (4),President name (4),Party Affiliation of President (4),Renominating President name (4),Party Affiliation of Renominating President (4),Nomination Date Senate Executive Journal (4),ABA Rating (4),Recess Appointment date (4),Vice last name (predecessor) (4),Vice first name (predecessor) (4),Authorization legislation (4),referral date (referral to Judicial Committee) (4),Report number (4),committee action (4),Committee action date (4),Hearings (4),Senate voice vote (4),Senate vote Ayes/Nays (4),Senate Vote Date (Confirmation Date) (4),Commission Date (4),Date of Service as Chief Judge (begin) (4),Date of Service as Chief Judge (end) (4),Second Date of Service as Chief Judge (begin) (4),Second Date of Service as Chief Judge (end) (4),Retirement from Active Service (4),Date of Termination (4),Termination specific reason (4),Judge Identification Number,Court Name (5),Court Type (5),President name (5),Party Affiliation of President (5),Renominating President name (5),Party Affiliation of Renominating President (5),Nomination Date Senate Executive Journal (5),ABA Rating (5),Recess Appointment date (5),Vice last name (predecessor) (5),Vice first name (predecessor) (5),Authorization legislation (5),referral date (referral to Judicial Committee) (5),Report number (5),committee action (5),Committee action date (5),Hearings (5),Senate voice vote (5),Senate vote Ayes/Nays (5),Senate Vote Date (Confirmation Date) (5),Commission Date (5),Date of Service as Chief Judge (begin) (5),Date of Service as Chief Judge (end) (5),Second Date of Service as Chief Judge (begin) (5),Second Date of Service as Chief Judge (end) (5),Retirement from Active Service (5),Date of Termination (5),Termination specific reason (5),Judge Identification Number,Court Name (6),Court Type (6),President name (6),Party Affiliation of President (6),Nomination Date Senate Executive Journal (6),Renominating President name (6),Party Affiliation of Renominating President (6),ABA Rating (6),Recess Appointment date (6),Vice last name (predecessor) (6),Vice first name (predecessor) (6),Authorization legislation (6),referral date (referral to Judicial Committee) (6),Report number (6),committee action (6),Committee action date (6),Hearings (6),Senate voice vote (6),Senate vote Ayes/Nays (6),Senate Vote Date (Confirmation Date) (6),Commission Date (6),Date of Service as Chief Judge (begin) (6),Date of Service as Chief Judge (end) (6),Second Date of Service as Chief Judge (begin) (6),Second Date of Service as Chief Judge (end) (6),Retirement from Active Service (6),Date of Termination (6),Termination specific reason (6),Name of School,Degree,Degree year,Name of School (2),Degree (2),Degree year (2),Name of School (3),Degree (3),Degree year (3),Name of School (4),Degree (4),Degree year (4),Name of School (5),Degree  (5),Degree year (5),Employment text field,Bankruptcy and Magistrate service
1850,Paul,Charles,Ferguson, ,4,26,1902,Wheeling,WV,2,17,1965, , ,M,White,1850,"U. S. District Court, Northern District of West Virginia",USDC,Dwight D. Eisenhower,Republican,,,1/11/60, ,,Boreman,Herbert S., ,1/11/60, ,Reported With Recommendation,2/29/60, ,Yes, ,3/1/60,3/5/60,1960,1963,1965,,,,2/17/65,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Virginia University,A.B.,1923,Harvard Law School,LL.B.,1926,,,,,,,,,,"Private practice, Wheeling, West Virginia, 1926-1960",
3269,Durfee,James,Randall, ,11,3,1897,Oshkosh,WI,10,29,1977,Bethesda,MD,M,White,3269,Court of Claims,Court of Claims,Dwight D. Eisenhower,Republican,,,1/11/60, ,,Littleton,Benjamin H., ,1/11/60, ,Reported With Recommendation,2/29/60, ,No,69/15,4/20/60,4/22/60,1960,,,,,1/6/72,10/29/77,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marquette University Law School,LL.B.,1926,,,,,,,,,,,,,"U.S. Army, 1917-1919<br>Private practice, Antigo, Wisconsin, 1926-1951<br>District attorney, Langlade County, Wisconsin, 1928-1932<br>Commissioner, Wisconsin Circuit Court, Tenth Judicial Circuit, 1934-1950<br>Member, Wisconsin State Public Service Commission, 1951-1956; chairman, 1953-1956<br>Chairman, Civil Aeronautics Board, 1956-1960",
2389,Timbers,William,Homer, ,9,5,1915,Yonkers,NY,11,26,1994,Suffield,CT,M,White,2389,"U. S. District Court, District of Connecticut",USDC,Dwight D. Eisenhower,Republican,,,1/11/60, ,,Smith,J. Joseph, ,1/11/60, ,Reported With Recommendation,8/31/60, ,Yes, ,9/1/60,9/2/60,1960,1964,1971,,,,8/6/71,Appointment to Another Judicial Position,2389,U. S. Court of Appeals for the Second Circuit,USCA,Richard M. Nixon,Republican,,,5/13/71,Qualified,,Anderson,Robert Palmer, ,5/13/71, ,Reported With Recommendation,7/28/71, ,Yes, ,7/29/71,7/29/71,,,,,7/10/81,11/26/94,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dartmouth College,A.B.,1937,Yale Law School,LL.B.,1940,,,,,,,,,,"Private practice, New York City, 1940-1948, 1956-1960<BR>Private practice, Stamford, Connecticut, 1948-1953<BR>General counsel, U.S. Securities and Exchange Commission, 1953-1956",
1060,Hodge,Walter,Hartman, ,8,29,1896,Auburn,IN,7,12,1975, , ,M,White,1060,"U. S. District Court, District of Alaska",USDC,Dwight D. Eisenhower,Republican,,,1/14/60, ,,new, ,72 Stat. 339,1/14/60, ,Reported With Recommendation,2/17/60, ,Yes, ,2/18/60,2/19/60,1960,1961,1966,,,8/30/66,7/12/75,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Washington School of Law,LL.B.,1919,,,,,,,,,,,,,"Law clerk, Supreme Court of the State of Washington, 1919-1920<BR>Private practice, Wenatchee, Washington, 1921<BR>Deputy prosecutor, Skagit County, Washington, 1921-1924<BR>Private practice, Seattle, Washington, 1925-1926, 1929-1934<BR>Assistant U.S. attorney, District of Alaska Territory, 1926-1929<BR>Private practice, Cordova, Alaska Territory, 1934-1954<BR>Judge, U.S. District Court, District of Alaska Territory, 1954-1959<BR>Associate justice, Alaska Supreme Court, 1959-1960<BR>",
420,Chilson,Olin,Hatfield, ,11,22,1903,Pueblo,CO,9,28,1991, , ,M,White,420,"U. S. District Court, District of Colorado",USDC,Dwight D. Eisenhower,Republican,,,2/19/60, ,,Knous,William L., ,2/19/60, ,Reported With Recommendation,2/29/60, ,Yes, ,3/1/60,3/5/60,1960,,,,,12/31/73,9/28/91,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Colorado Law School,LL.B.,1927,,,,,,,,,,,,,"Private practice, La Jara, Colorado, 1927<BR>Private practice, Greeley, Colorado, 1927-1928<BR>Private practice, Loveland, Colorado, 1928-1954<BR>District attorney, Eighth Judicial District, Colorado, 1940-1948<BR>Assistant secretary of the interior, 1956-1957<BR>Undersecretary of the interior, 1957-1958<BR>Private practice, Denver, Colorado, 1958-1960",
1392,Lewis,Oren,Ritter, ,10,7,1902,Seymour,IN,6,12,1983,Arlington,VA,M,White,1392,"U. S. District Court, Eastern District of Virginia",USDC,Dwight D. Eisenhower,Republican,,,3/21/60, ,,Hutcheson,C. Sterling, ,3/21/60, ,Reported With Recommendation,5/27/60, ,Yes, ,5/31/60,5/31/60,1960,,,,,1/1/74,6/12/83,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Washington University Law School,LL.B.,1939,,,,,,,,,,,,,"Private practice, Arlington County, Virginia, 1940-1960",
2287,Stephenson,Roy,Laverne, ,3,14,1917,Spirit Lake,IA,11,5,1982, , ,M,White,2287,"U. S. District Court, Southern District of Iowa",USDC,Dwight D. Eisenhower,Republican,,,5/16/60, ,,Hicklin,Edwin R., ,5/16/60, ,Reported Without Recommendation,5/25/60, ,Yes, ,5/26/60,5/31/60,1960,1961,1971,,,,7/6/71,Appointment to Another Judicial Position,2287,U. S. Court of Appeals for the Eighth Circuit,USCA,Richard M. Nixon,Republican,,,6/1/71,Well Qualified,,Van Oosterhout,Martin Donald, ,6/1/71, ,Reported With Recommendation,6/17/71, ,Yes, ,6/18/71,6/22/71,,,,,4/1/82,11/5/82,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Iowa,B.A.,1938,University of Iowa College of Law,J.D.,1940,,,,,,,,,,"U.S. Army Reserve second lieutenant, 1938-1941<BR>Private practice, Mapleton, Iowa, 1940-1941<BR>U.S. Army captain, 1941-1946<BR>Private practice, Des Moines, Iowa, 1946-1953<BR>U.S. attorney for the Southern District of Iowa, 1953-1960<BR>",
1218,Kaess,Frederick,William, ,12,1,1910,Detroit,MI,3,30,1979, , ,M,White,1218,"U. S. District Court, Eastern District of Michigan",USDC,Dwight D. Eisenhower,Republican,,,6/10/60, ,,Lederle,Arthur F., ,6/10/60, ,Reported With Recommendation,6/30/60, ,Yes, ,7/2/60,7/6/60,1960,1972,1975,,,12/13/75,3/30/79,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detroit College of Law (now Michigan State University College of Law),LL.B.,1932,,,,,,,,,,,,,"Municipal judge, St. Clair Shores, Michigan, 1932-1933<BR>Attorney/claims manager, Michigan Mutual Liability Company, 1933-1945<BR>Deputy commissioner, Workmen`s Compensation Commission, Lansing, Michigan, 1939-1940<BR>Private practice, Detroit, Michigan, 1945-1953<BR>U.S. attorney for the Eastern District of Michigan, 1953-1960",
1659,Mishler,Jacob, , ,4,20,1911,New York,NY,1,26,2004,West Palm Beach,FL,M,White,1659,"U. S. District Court, Eastern District of New York",USDC,Dwight D. Eisenhower,Republican,,,6/10/60, ,,Byers,Mortimer, ,6/10/60, ,Reported With Recommendation,6/30/60, ,Yes, ,7/2/60,7/6/60,1960,1969,1980,,,4/30/80,1/26/04,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York University,B.S.,1931,New York University School of Law,J.D.,1933,,,,,,,,,,"Private practice, Long Island City, New York, 1934-1959, 1960<BR>Justice, Supreme Court of the State of New York, 1959",
1338,Lane,Arthur,Stephen, ,12,26,1910,Arlington,MA,10,23,1997,Princeton,NJ,M,White,1338,"U. S. District Court, District of New Jersey",USDC,Dwight D. Eisenhower,Republican,,,6/17/60, ,,Forman,Philip, ,6/17/60, ,Reported Without Recommendation,8/25/60, ,Yes, ,8/27/60,8/30/60,1960,,,,,,7/15/67,Resignation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Princeton University,B.A.,1934,Harvard Law School,LL.B.,1937,,,,,,,,,,"Law secretary, vice chancellor of New Jersey, 1937-1939<BR>U.S. Navy commanding officer, 1942-1946<BR>Assistant prosecutor, Mercer County, New Jersey, 1946-1956<BR>Private practice, Trenton, New Jersey, 1946-1956<BR>Judge, Mercer County [New Jersey] Court, 1956-1960<BR>General counsel/director, Johnson and Johnson, New Brunswick, New Jersey, 1967-1976<BR>Private practice, New Brunswick, New Jersey, 1976-1997<BR>Member, New Jersey State Commission of Investigation, 1977-1985<BR>",
